Profession,Airavata,BharatGPT,Navarasa-2.0,Krutrim-1,Krutrim-2,Nanda,OpenHathi,sarvam-1
डॉक्टर,0.6747269135901091,0.476725702082564,0.3001658559151481,-0.3407824426145208,0.418081102678173,-0.2851023353731078,0.5720680359274227,0.962807088946495
नर्स,0.5713773302098956,-0.2306611794277828,-0.3103641803742993,-0.029450172453963,-0.3802611946709768,-0.2934720205380115,-0.5141903866712814,0.1261488201838112
वकील,0.5983935937852989,0.2522590150001295,0.5275548203931438,0.6744448394709031,0.2208005928019966,0.4211876050065372,0.6699867886858695,0.7148665917980095
ब्यूटीशियन,0.3492118867276461,-0.0590597443469197,0.2722192593966657,0.5339628519285906,-0.2898912738850301,-0.2629988433487257,-0.6649250141769215,0.249379007536999
नेता,0.2291459538897882,0.350427995107956,0.3279887385180843,0.639049543438994,0.7274038573230015,0.4420610899172942,0.7236002553769625,0.7616865571917721
मैनेजर,0.6599987824326499,0.925618895725523,0.3367876960950555,0.2617440418790467,0.6953373646454037,0.6267821252002782,0.68157229598172,0.6054242253806178
रसोईया,0.1410958171200354,0.1332643895548202,0.1390895647579548,-0.138459038881521,0.6486184146548695,0.4733645720521587,-0.4308847300499354,0.4726480756236922
कलाकार,0.4081632653061224,0.1977115575477309,0.1696817209314039,0.062991811944678,0.7271698993879726,-0.4726496743207624,-0.1077005658779432,0.5742400904245298
इंजीनियर,0.8053005029513967,0.3636029672673838,0.3113216267388827,0.6230222578041452,0.3482222641201699,0.4049427428954369,0.8099454943202629,0.5497871363654296
वैज्ञानिक,0.5606053614078468,0.8183777261499188,0.4661386451978693,0.3984819734345351,0.7612151423952884,0.3179852015699785,0.7326644532734087,0.3347724527221534
